content,sentiment,sentiment_score,like_count,sub_comment_count,content_len,create_time,topics,segments
精神内耗太严重了，一天下来什么都没做却累得要死 收藏了,neutral,-1.3,500.0,3.0,27,1784381666600.0,情绪与内耗,情绪内耗型
SMART原则真的有用，目标要具体可衡量才有执行力,positive,2.6,1.0,2.0,25,1778033049845.0,"目标与计划,效率与工具,拖延与行动障碍",方向迷茫型
人生没有白走的路，每一步都算数 说的太对了,neutral,0.0,1.0,0.0,21,1782896139515.0,,
允许自己停下来也是一种能力，我花了很久才学会 收藏了,neutral,1.3,100.0,0.0,26,1782905853292.0,自我接纳与成长,
拖延不是懒，是完美主义在作祟，怕做不好所以不开始,negative,-2.0,1.0,0.0,24,1780051249653.0,拖延与行动障碍,拖延挣扎型
抑郁情绪来的时候什么都不想做，这个时候不逼自己才是对的 共勉,neutral,-1.0,1.0,10.0,30,1784111802914.0,情绪与内耗,情绪内耗型
不要等到准备好了再开始，先做了再说，路是走出来的,neutral,1.3,0.0,0.0,24,1780415256500.0,拖延与行动障碍,
精神内耗太严重了，一天下来什么都没做却累得要死,neutral,-1.3,0.0,5.0,23,1783316053980.0,情绪与内耗,情绪内耗型
自律不是靠意志力，是靠环境和习惯，把目标融入日常,positive,3.0,0.0,3.0,24,1782008238339.0,"自律与习惯,目标与计划","习惯崩盘型,方向迷茫型"
AI教练真的能替代真人教练吗？感觉少了那种被理解的感觉,neutral,1.3,0.0,3.0,27,1784080200991.0,教练方法与关系,教练学习者
自律不是苦行僧，而是对自己的人生有掌控感。当你开始行动，焦虑自然就消失了。,neutral,1.0,926.0,0.0,37,1781796527978.0,"自律与习惯,拖延与行动障碍,情绪与内耗",情绪内耗型
抑郁情绪来的时候什么都不想做，这个时候不逼自己才是对的,neutral,-1.0,5.0,0.0,27,1783898930522.0,情绪与内耗,情绪内耗型
焦虑到失眠，感觉所有人都在前进只有我停在原地 说的太对了,neutral,-1.3,1.0,5.0,28,1783595369993.0,情绪与内耗,情绪内耗型
教练课程太贵了，一个月几千块真的负担不起,neutral,0.0,3.0,3.0,20,1782060160649.0,"教练方法与关系,价值与价格",教练学习者
从年目标倒推到日计划，这个方法帮我实现了年度flag,positive,2.0,1.0,0.0,26,1785228604045.0,"目标与计划,效率与工具","方向迷茫型,教练学习者"
最近最大的成长是学会了对自己说没关系，慢慢来,neutral,1.0,50.0,2.0,22,1784556733222.0,自我接纳与成长,积极成长型
好的教练真的像一面镜子，让你看清自己看不到的盲区,positive,1.6,1.0,0.0,24,1779307945751.0,教练方法与关系,教练学习者
允许自己停下来也是一种能力，我花了很久才学会 说的太对了,positive,1.6,20.0,1.0,28,1781328149482.0,自我接纳与成长,
教练课程太贵了，一个月几千块真的负担不起 说的太对了,neutral,0.0,10.0,1.0,26,1780408751743.0,"教练方法与关系,价值与价格",教练学习者
最近最大的成长是学会了对自己说没关系，慢慢来,neutral,1.0,1.0,2.0,22,1779510907111.0,自我接纳与成长,积极成长型
自律打卡第100天，从一个摆烂的人变成现在的自己，感谢那个没放弃的我,neutral,1.0,0.0,0.0,34,1785256824794.0,自律与习惯,习惯崩盘型
成长就是接纳自己的普通然后依然努力,positive,2.0,0.0,1.0,17,1784742960906.0,自我接纳与成长,积极成长型
拖延症晚期患者求拯救，明明知道该做什么就是不想动,neutral,-1.0,0.0,3.0,24,1784685726008.0,拖延与行动障碍,拖延挣扎型
AI教练真的能替代真人教练吗？感觉少了那种被理解的感觉,neutral,1.3,1.0,1.0,27,1781970434408.0,教练方法与关系,教练学习者
不会做计划怎么办，每次计划都做得太满然后完不成更挫败,neutral,0.0,1.0,5.0,26,1785073580820.0,目标与计划,
如果有一个AI教练每天在微信里提醒我打卡，我愿意付费,neutral,1.0,1.0,0.0,26,1778866679578.0,"教练方法与关系,自律与习惯,价值与价格","习惯崩盘型,教练学习者"
教练课程太贵了，一个月几千块真的负担不起,neutral,0.0,500.0,1.0,20,1784464704333.0,"教练方法与关系,价值与价格",教练学习者
免费的东西往往最贵，好的服务值得付费,positive,2.6,1.0,20.0,18,1780319366246.0,价值与价格,
每次想做正事就开始拖延，刷手机刷到半夜然后自责，第二天又重复，怎么打破这个循环,negative,-2.0,3.0,2.0,39,1780797835719.0,拖延与行动障碍,拖延挣扎型
习惯养成真的好难，前21天简直要命，但熬过去就好了,positive,3.2,0.0,1.0,25,1778919610561.0,自律与习惯,习惯崩盘型
AI教练真的能替代真人教练吗？感觉少了那种被理解的感觉,neutral,1.3,500.0,0.0,27,1781130526387.0,教练方法与关系,教练学习者
一个好的coach真的能改变你的人生轨迹，感恩 同感,positive,3.2,50.0,3.0,26,1779248138753.0,"教练方法与关系,自我接纳与成长","积极成长型,教练学习者"
我也总是拖延，看了很多方法都没用，感觉需要有人盯着我才能动起来 说的太对了,negative,-2.6,3.0,2.0,37,1781191135292.0,"拖延与行动障碍,效率与工具","拖延挣扎型,教练学习者"
拖延的根源不是懒，是恐惧。怕做不好、怕被评价、怕失败。教练帮我看到的这一点，改变了我的人生。,negative,-3.0,6337.0,0.0,46,1784765334741.0,"拖延与行动障碍,情绪与内耗,教练方法与关系,自我接纳与成长","拖延挣扎型,积极成长型,教练学习者"
接纳自己的不完美才是治愈的开始,positive,2.0,0.0,0.0,15,1782853865507.0,"自我接纳与成长,拖延与行动障碍",
AI教练真的能替代真人教练吗？感觉少了那种被理解的感觉,neutral,1.3,0.0,0.0,27,1782621464764.0,教练方法与关系,教练学习者
人的改变真的是从接纳开始的，越抗拒越痛苦,positive,2.6,0.0,2.0,20,1783160018337.0,"自我接纳与成长,拖延与行动障碍",积极成长型
允许自己停下来也是一种能力，我花了很久才学会,neutral,1.3,5.0,0.0,22,1783869506615.0,自我接纳与成长,
计划不用太完美，完成比完美更重要 共勉,neutral,1.3,20.0,1.0,19,1780909304112.0,目标与计划,
成长就是接纳自己的普通然后依然努力 收藏了,positive,2.0,0.0,2.0,21,1782440031833.0,自我接纳与成长,积极成长型
拖延不是懒，是完美主义在作祟，怕做不好所以不开始,negative,-2.0,0.0,0.0,24,1777600735572.0,拖延与行动障碍,拖延挣扎型
拖延的背后是恐惧，害怕失败所以迟迟不开始,negative,-4.0,5.0,0.0,20,1784938248158.0,"拖延与行动障碍,情绪与内耗",拖延挣扎型
拖延不是懒，是完美主义在作祟，怕做不好所以不开始,negative,-2.0,0.0,1.0,24,1783323333052.0,拖延与行动障碍,拖延挣扎型
习惯养成真的好难，前21天简直要命，但熬过去就好了 加油,positive,3.2,5.0,1.0,28,1782064724981.0,自律与习惯,习惯崩盘型
精神内耗太严重了，一天下来什么都没做却累得要死 收藏了,neutral,-1.3,0.0,1.0,27,1781013428889.0,情绪与内耗,情绪内耗型
一个好的coach真的能改变你的人生轨迹，感恩,positive,3.2,0.0,0.0,23,1781712012394.0,"教练方法与关系,自我接纳与成长","积极成长型,教练学习者"
人生没有白走的路，每一步都算数,neutral,0.0,10.0,2.0,15,1777865663795.0,,
接纳自己的不完美才是治愈的开始,positive,2.0,3.0,0.0,15,1782778007357.0,"自我接纳与成长,拖延与行动障碍",
每天被焦虑裹挟，明明很努力还是觉得不够好,neutral,0.0,3.0,0.0,20,1777838305904.0,"自律与习惯,情绪与内耗",情绪内耗型
好的教练真的像一面镜子，让你看清自己看不到的盲区 加油,positive,1.6,1.0,0.0,27,1777746917495.0,教练方法与关系,教练学习者
做计划的时候激情满满，执行的时候各种理由推脱，我太难了 收藏了,neutral,0.0,10.0,10.0,31,1777722698611.0,目标与计划,
允许自己做自己，允许别人做别人,positive,2.0,0.0,2.0,15,1783158289312.0,自我接纳与成长,
一个好的coach真的能改变你的人生轨迹，感恩 共勉,positive,3.2,10.0,2.0,26,1784687108257.0,"教练方法与关系,自我接纳与成长","积极成长型,教练学习者"
抑郁情绪来的时候什么都不想做，这个时候不逼自己才是对的,neutral,-1.0,3.0,1.0,27,1783344405978.0,情绪与内耗,情绪内耗型
不要等到准备好了再开始，先做了再说，路是走出来的,neutral,1.3,1.0,0.0,24,1780592216548.0,拖延与行动障碍,
找一个搭子一起自律真的很重要，互相监督比一个人坚持容易太多了,positive,3.2,0.0,0.0,30,1779681233932.0,"自律与习惯,教练方法与关系",
有没有好用的目标管理工具推荐，想要一个能每天提醒我的,positive,2.0,0.0,10.0,26,1778214159574.0,"目标与计划,效率与工具,自律与习惯",方向迷茫型
习惯养成真的好难，前21天简直要命，但熬过去就好了 说的太对了,positive,3.8,5.0,2.0,31,1779955210401.0,自律与习惯,习惯崩盘型
抑郁情绪来的时候什么都不想做，这个时候不逼自己才是对的,neutral,-1.0,50.0,2.0,27,1781214236590.0,情绪与内耗,情绪内耗型
SMART原则真的有用，目标要具体可衡量才有执行力,positive,2.6,20.0,3.0,25,1781603888940.0,"目标与计划,效率与工具,拖延与行动障碍",方向迷茫型
最近最大的成长是学会了对自己说没关系，慢慢来,neutral,1.0,0.0,0.0,22,1779589631028.0,自我接纳与成长,积极成长型
好的教练真的像一面镜子，让你看清自己看不到的盲区,positive,1.6,5.0,0.0,24,1782102719729.0,教练方法与关系,教练学习者
计划不用太完美，完成比完美更重要,neutral,1.3,0.0,2.0,16,1782110331823.0,目标与计划,
习惯养成真的好难，前21天简直要命，但熬过去就好了,positive,3.2,20.0,3.0,25,1783566809241.0,自律与习惯,习惯崩盘型
如果有一个AI教练每天在微信里提醒我打卡，我愿意付费 同感,neutral,1.0,0.0,0.0,29,1781980647334.0,"教练方法与关系,自律与习惯,价值与价格","习惯崩盘型,教练学习者"
道理都懂就是做不到，说的就是我本人了 说的太对了,neutral,0.0,3.0,1.0,24,1781224154079.0,,
从年目标倒推到日计划，这个方法帮我实现了年度flag,positive,2.0,3.0,2.0,26,1780070322745.0,"目标与计划,效率与工具","方向迷茫型,教练学习者"
习惯养成真的好难，前21天简直要命，但熬过去就好了,positive,3.2,1.0,1.0,25,1779562324210.0,自律与习惯,习惯崩盘型
每天进步一点点，三个月回头看真的被自己惊讶到,neutral,1.3,0.0,1.0,22,1781898054482.0,"自律与习惯,自我接纳与成长",积极成长型
AI教练真的能替代真人教练吗？感觉少了那种被理解的感觉,neutral,1.3,3.0,0.0,27,1782762615327.0,教练方法与关系,教练学习者
每天被焦虑裹挟，明明很努力还是觉得不够好,neutral,0.0,5.0,0.0,20,1785112969795.0,"自律与习惯,情绪与内耗",情绪内耗型
计划不用太完美，完成比完美更重要 收藏了,neutral,1.3,0.0,2.0,20,1781008652780.0,目标与计划,
我也总是拖延，看了很多方法都没用，感觉需要有人盯着我才能动起来 加油,negative,-2.0,3.0,0.0,34,1780307354596.0,"拖延与行动障碍,效率与工具","拖延挣扎型,教练学习者"
成长就是接纳自己的普通然后依然努力,positive,2.0,100.0,2.0,17,1781735761455.0,自我接纳与成长,积极成长型
教练和心理咨询师的区别是什么？感觉教练更注重行动和未来,neutral,1.0,0.0,3.0,27,1783937208604.0,"教练方法与关系,拖延与行动障碍",教练学习者
遇到了一个很好的教练，她总是不评判我，只是耐心地听我说然后问我问题,positive,1.6,0.0,1.0,33,1784218384780.0,教练方法与关系,教练学习者
找教练有用吗？价格不便宜但确实帮我突破了瓶颈,neutral,0.0,1.0,1.0,22,1783654676858.0,"教练方法与关系,价值与价格,自我接纳与成长","积极成长型,教练学习者"
有没有性价比高的教练推荐，想要被监督又不想花太多钱,neutral,1.0,1.0,0.0,25,1784305862394.0,"价值与价格,教练方法与关系",教练学习者
精神内耗太严重了，一天下来什么都没做却累得要死,neutral,-1.3,0.0,0.0,23,1784549268532.0,情绪与内耗,情绪内耗型
好的教练真的像一面镜子，让你看清自己看不到的盲区,positive,1.6,3.0,0.0,24,1781481584084.0,教练方法与关系,教练学习者
有没有好用的目标管理工具推荐，想要一个能每天提醒我的,positive,2.0,0.0,0.0,26,1779797694477.0,"目标与计划,效率与工具,自律与习惯",方向迷茫型
内耗是可以停止的。第一步就是允许自己不完美，允许自己慢慢来。,neutral,1.0,2174.0,5.0,30,1784580052512.0,"情绪与内耗,拖延与行动障碍,自我接纳与成长",情绪内耗型
有没有性价比高的教练推荐，想要被监督又不想花太多钱,neutral,1.0,0.0,0.0,25,1783994129141.0,"价值与价格,教练方法与关系",教练学习者
人的改变真的是从接纳开始的，越抗拒越痛苦,positive,2.6,0.0,5.0,20,1779236689135.0,"自我接纳与成长,拖延与行动障碍",积极成长型
我也总是拖延，看了很多方法都没用，感觉需要有人盯着我才能动起来,negative,-2.0,0.0,0.0,31,1784527059138.0,"拖延与行动障碍,效率与工具","拖延挣扎型,教练学习者"
拖延的背后是恐惧，害怕失败所以迟迟不开始,negative,-4.0,0.0,1.0,20,1783268867385.0,"拖延与行动障碍,情绪与内耗",拖延挣扎型
最近最大的成长是学会了对自己说没关系，慢慢来,neutral,1.0,20.0,2.0,22,1782014779429.0,自我接纳与成长,积极成长型
习惯养成真的好难，前21天简直要命，但熬过去就好了,positive,3.2,5.0,0.0,25,1780332294823.0,自律与习惯,习惯崩盘型
人生没有白走的路，每一步都算数 共勉,neutral,0.0,0.0,0.0,18,1779691508878.0,,
从年目标倒推到日计划，这个方法帮我实现了年度flag 收藏了,positive,2.0,5.0,2.0,30,1783295358070.0,"目标与计划,效率与工具","方向迷茫型,教练学习者"
每天三个最重要的事，做完就收工，这个方法让我不再焦虑,neutral,-1.0,50.0,3.0,26,1779269216684.0,"自律与习惯,效率与工具,情绪与内耗","情绪内耗型,教练学习者"
坚持早起30天了，感觉整个人都不一样了，自律真的能改变人生,positive,5.2,0.0,0.0,29,1784541382407.0,"自律与习惯,自我接纳与成长",积极成长型
一个好的教练就像一面镜子，不评判不指责，只是温柔地让你看见自己。遇见她之后我才真正开始改变。,positive,5.2,6204.0,5.0,46,1783516397410.0,"教练方法与关系,自我接纳与成长,拖延与行动障碍","积极成长型,教练学习者"
花了钱才更珍惜，免费的课程根本不会听完,neutral,0.0,1.0,0.0,19,1781431850221.0,价值与价格,
拖延症晚期患者求拯救，明明知道该做什么就是不想动,neutral,-1.0,3.0,1.0,24,1784362490538.0,拖延与行动障碍,拖延挣扎型
做计划的时候激情满满，执行的时候各种理由推脱，我太难了,neutral,0.0,0.0,1.0,27,1781645041214.0,目标与计划,
道理都懂就是做不到，说的就是我本人了,neutral,0.0,3.0,3.0,18,1784002258104.0,,
有没有性价比高的教练推荐，想要被监督又不想花太多钱,neutral,1.0,100.0,3.0,25,1778391493496.0,"价值与价格,教练方法与关系",教练学习者
每次想做正事就开始拖延，刷手机刷到半夜然后自责，第二天又重复，怎么打破这个循环,negative,-2.0,1.0,0.0,39,1777699918453.0,拖延与行动障碍,拖延挣扎型
每天三个最重要的事，做完就收工，这个方法让我不再焦虑,neutral,-1.0,3.0,5.0,26,1777840288475.0,"自律与习惯,效率与工具,情绪与内耗","情绪内耗型,教练学习者"
允许自己停下来也是一种能力，我花了很久才学会,neutral,1.3,10.0,3.0,22,1780978956611.0,自我接纳与成长,
最近最大的成长是学会了对自己说没关系，慢慢来,neutral,1.0,1.0,0.0,22,1780330112117.0,自我接纳与成长,积极成长型
接纳自己的不完美才是治愈的开始,positive,2.0,1.0,0.0,15,1779570783850.0,"自我接纳与成长,拖延与行动障碍",
计划不用太完美，完成比完美更重要,neutral,1.3,0.0,0.0,16,1780236943600.0,目标与计划,
不要等到准备好了再开始，先做了再说，路是走出来的,neutral,1.3,0.0,0.0,24,1778874570458.0,拖延与行动障碍,
我也总是拖延，看了很多方法都没用，感觉需要有人盯着我才能动起来,negative,-2.0,50.0,0.0,31,1784587427374.0,"拖延与行动障碍,效率与工具","拖延挣扎型,教练学习者"
每天进步一点点，三个月回头看真的被自己惊讶到,neutral,1.3,0.0,2.0,22,1783265628438.0,"自律与习惯,自我接纳与成长",积极成长型
焦虑到失眠，感觉所有人都在前进只有我停在原地,neutral,-1.0,3.0,0.0,22,1782516602880.0,情绪与内耗,情绪内耗型
拖延不是懒，是完美主义在作祟，怕做不好所以不开始 共勉,negative,-2.0,1000.0,0.0,27,1777712270189.0,拖延与行动障碍,拖延挣扎型
拖延症晚期患者求拯救，明明知道该做什么就是不想动,neutral,-1.0,3.0,10.0,24,1779198343175.0,拖延与行动障碍,拖延挣扎型
自律不是靠意志力，是靠环境和习惯，把目标融入日常,positive,3.0,3.0,1.0,24,1781352434236.0,"自律与习惯,目标与计划","习惯崩盘型,方向迷茫型"
不会做计划怎么办，每次计划都做得太满然后完不成更挫败 同感,neutral,0.0,50.0,0.0,29,1783048644896.0,目标与计划,
每天被焦虑裹挟，明明很努力还是觉得不够好,neutral,0.0,0.0,0.0,20,1777881698610.0,"自律与习惯,情绪与内耗",情绪内耗型
焦虑到失眠，感觉所有人都在前进只有我停在原地,neutral,-1.0,3.0,0.0,22,1783331595377.0,情绪与内耗,情绪内耗型
拖延的背后是恐惧，害怕失败所以迟迟不开始,negative,-4.0,5.0,2.0,20,1780663831958.0,"拖延与行动障碍,情绪与内耗",拖延挣扎型
如果有一个AI教练每天在微信里提醒我打卡，我愿意付费 说的太对了,neutral,1.3,10.0,1.0,32,1780587683260.0,"教练方法与关系,自律与习惯,价值与价格","习惯崩盘型,教练学习者"
成长就是接纳自己的普通然后依然努力 共勉,positive,2.0,1.0,1.0,20,1784273034526.0,自我接纳与成长,积极成长型
做计划的时候激情满满，执行的时候各种理由推脱，我太难了 收藏了,neutral,0.0,3.0,1.0,31,1780739275580.0,目标与计划,
免费的东西往往最贵，好的服务值得付费,positive,2.6,0.0,0.0,18,1778118707920.0,价值与价格,
允许自己停下来也是一种能力，我花了很久才学会,neutral,1.3,3.0,1.0,22,1778428104631.0,自我接纳与成长,
免费的东西往往最贵，好的服务值得付费,positive,2.6,1.0,0.0,18,1781484007351.0,价值与价格,
一个好的coach真的能改变你的人生轨迹，感恩,positive,3.2,1.0,0.0,23,1782534332472.0,"教练方法与关系,自我接纳与成长","积极成长型,教练学习者"
找教练有用吗？价格不便宜但确实帮我突破了瓶颈,neutral,0.0,3.0,5.0,22,1779156702849.0,"教练方法与关系,价值与价格,自我接纳与成长","积极成长型,教练学习者"
最近最大的成长是学会了对自己说没关系，慢慢来,neutral,1.0,10.0,1.0,22,1778507503005.0,自我接纳与成长,积极成长型
AI教练真的能替代真人教练吗？感觉少了那种被理解的感觉,neutral,1.3,0.0,2.0,27,1785283559454.0,教练方法与关系,教练学习者
习惯养成真的好难，前21天简直要命，但熬过去就好了 共勉,positive,3.2,0.0,0.0,28,1781745775489.0,自律与习惯,习惯崩盘型
有没有性价比高的教练推荐，想要被监督又不想花太多钱,neutral,1.0,1.0,1.0,25,1784325746728.0,"价值与价格,教练方法与关系",教练学习者
允许自己停下来也是一种能力，我花了很久才学会,neutral,1.3,0.0,0.0,22,1779226960218.0,自我接纳与成长,
找教练有用吗？价格不便宜但确实帮我突破了瓶颈,neutral,0.0,5.0,1.0,22,1784212038200.0,"教练方法与关系,价值与价格,自我接纳与成长","积极成长型,教练学习者"
我也总是拖延，看了很多方法都没用，感觉需要有人盯着我才能动起来,negative,-2.0,1.0,5.0,31,1778220767978.0,"拖延与行动障碍,效率与工具","拖延挣扎型,教练学习者"
道理都懂就是做不到，说的就是我本人了,neutral,0.0,3.0,1.0,18,1778687518360.0,,
拖延症晚期患者求拯救，明明知道该做什么就是不想动,neutral,-1.0,10.0,0.0,24,1781175481335.0,拖延与行动障碍,拖延挣扎型
目标定了很多次都半途而废，现在学会了把大目标拆成小步骤,neutral,1.3,5.0,1.0,27,1777858788100.0,"目标与计划,拖延与行动障碍","拖延挣扎型,方向迷茫型"
拖延的背后是恐惧，害怕失败所以迟迟不开始,negative,-4.0,1.0,2.0,20,1777926647735.0,"拖延与行动障碍,情绪与内耗",拖延挣扎型
免费的东西往往最贵，好的服务值得付费,positive,2.6,1.0,0.0,18,1778022648226.0,价值与价格,
找教练有用吗？价格不便宜但确实帮我突破了瓶颈,neutral,0.0,50.0,1.0,22,1784710362792.0,"教练方法与关系,价值与价格,自我接纳与成长","积极成长型,教练学习者"
教练不是在给你答案，而是在帮你问对的问题,neutral,0.0,1.0,2.0,20,1781585101507.0,教练方法与关系,教练学习者
每天进步一点点，三个月回头看真的被自己惊讶到,neutral,1.3,0.0,0.0,22,1779804850918.0,"自律与习惯,自我接纳与成长",积极成长型
允许自己做自己，允许别人做别人 收藏了,positive,2.0,5.0,0.0,19,1784012175923.0,自我接纳与成长,
计划不用太完美，完成比完美更重要,neutral,1.3,0.0,0.0,16,1782884756257.0,目标与计划,
目标定了很多次都半途而废，现在学会了把大目标拆成小步骤,neutral,1.3,5.0,0.0,27,1784037993852.0,"目标与计划,拖延与行动障碍","拖延挣扎型,方向迷茫型"
最近最大的成长是学会了对自己说没关系，慢慢来,neutral,1.0,1.0,1.0,22,1778124014428.0,自我接纳与成长,积极成长型
人的改变真的是从接纳开始的，越抗拒越痛苦,positive,2.6,50.0,0.0,20,1784514848350.0,"自我接纳与成长,拖延与行动障碍",积极成长型
坚持早起30天了，感觉整个人都不一样了，自律真的能改变人生,positive,5.2,0.0,3.0,29,1778236490827.0,"自律与习惯,自我接纳与成长",积极成长型
允许自己停下来也是一种能力，我花了很久才学会 共勉,neutral,1.3,0.0,1.0,25,1780359965724.0,自我接纳与成长,
道理都懂就是做不到，说的就是我本人了,neutral,0.0,5.0,1.0,18,1778237747397.0,,
每天三个最重要的事，做完就收工，这个方法让我不再焦虑,neutral,-1.0,3.0,3.0,26,1779139834119.0,"自律与习惯,效率与工具,情绪与内耗","情绪内耗型,教练学习者"
拖延不是懒，是完美主义在作祟，怕做不好所以不开始 加油,negative,-2.0,0.0,0.0,27,1782483055385.0,拖延与行动障碍,拖延挣扎型
SMART原则真的有用，目标要具体可衡量才有执行力 加油,positive,2.6,1.0,0.0,28,1779955018250.0,"目标与计划,效率与工具,拖延与行动障碍",方向迷茫型
AI教练真的能替代真人教练吗？感觉少了那种被理解的感觉,neutral,1.3,3.0,0.0,27,1781685313250.0,教练方法与关系,教练学习者
抑郁情绪来的时候什么都不想做，这个时候不逼自己才是对的,neutral,-1.0,0.0,0.0,27,1782025096091.0,情绪与内耗,情绪内耗型
不要等到准备好了再开始，先做了再说，路是走出来的,neutral,1.3,100.0,2.0,24,1779197641510.0,拖延与行动障碍,
有没有好用的目标管理工具推荐，想要一个能每天提醒我的,positive,2.0,5.0,0.0,26,1778243315012.0,"目标与计划,效率与工具,自律与习惯",方向迷茫型
拖延症晚期患者求拯救，明明知道该做什么就是不想动,neutral,-1.0,50.0,0.0,24,1782189873760.0,拖延与行动障碍,拖延挣扎型
找教练有用吗？价格不便宜但确实帮我突破了瓶颈,neutral,0.0,0.0,2.0,22,1780628903064.0,"教练方法与关系,价值与价格,自我接纳与成长","积极成长型,教练学习者"
花了钱才更珍惜，免费的课程根本不会听完,neutral,0.0,1.0,0.0,19,1781701813459.0,价值与价格,
有没有人一起打卡互相监督，一个人真的坚持不下去 收藏了,positive,2.6,0.0,1.0,27,1781824195612.0,"自律与习惯,教练方法与关系",习惯崩盘型
自律不是靠意志力，是靠环境和习惯，把目标融入日常,positive,3.0,1.0,1.0,24,1781685978491.0,"自律与习惯,目标与计划","习惯崩盘型,方向迷茫型"
精神内耗太严重了，一天下来什么都没做却累得要死,neutral,-1.3,0.0,1.0,23,1782617940463.0,情绪与内耗,情绪内耗型
每天进步一点点，三个月回头看真的被自己惊讶到 说的太对了,positive,1.6,50.0,1.0,28,1782553286372.0,"自律与习惯,自我接纳与成长",积极成长型
允许自己停下来也是一种能力，我花了很久才学会,neutral,1.3,1.0,3.0,22,1779021240798.0,自我接纳与成长,
25岁之后开始觉醒，原来爱自己才是所有改变的基础,positive,3.0,0.0,2.0,24,1782244730619.0,"拖延与行动障碍,自我接纳与成长",积极成长型
教练不是在给你答案，而是在帮你问对的问题,neutral,0.0,1000.0,1.0,20,1778769846696.0,教练方法与关系,教练学习者
教练不是在给你答案，而是在帮你问对的问题 共勉,neutral,0.0,1.0,20.0,23,1785299647029.0,教练方法与关系,教练学习者
拖延的背后是恐惧，害怕失败所以迟迟不开始,negative,-4.0,0.0,2.0,20,1778545297636.0,"拖延与行动障碍,情绪与内耗",拖延挣扎型
最近最大的成长是学会了对自己说没关系，慢慢来,neutral,1.0,0.0,3.0,22,1784359987241.0,自我接纳与成长,积极成长型
每天三个最重要的事，做完就收工，这个方法让我不再焦虑,neutral,-1.0,0.0,3.0,26,1780693636852.0,"自律与习惯,效率与工具,情绪与内耗","情绪内耗型,教练学习者"
拖延症晚期患者求拯救，明明知道该做什么就是不想动,neutral,-1.0,0.0,1.0,24,1782872492234.0,拖延与行动障碍,拖延挣扎型
拖延的背后是恐惧，害怕失败所以迟迟不开始 收藏了,negative,-4.0,1.0,0.0,24,1781765286118.0,"拖延与行动障碍,情绪与内耗",拖延挣扎型
